Category: All categories

Country,water: (1/1/04 - 2/15/18)
Australia,100
United States,98
South Africa,92
New Zealand,83
Singapore,81
Canada,75
United Kingdom,72
Nigeria,67
Kenya,67
Philippines,66
United Arab Emirates,64
Ireland,60
Sri Lanka,57
India,56
Malaysia,53
Pakistan,41
Netherlands,39
Hong Kong,38
Bangladesh,28
Belgium,21
Norway,18
Indonesia,17
South Korea,15
Denmark,14
Sweden,14
Greece,14
Saudi Arabia,13
Thailand,12
Israel,12
Finland,11
Egypt,11
Portugal,11
Switzerland,10
Romania,9
Iran,9
Austria,8
Germany,7
Italy,7
Taiwan,7
Spain,6
China,6
Mexico,6
Vietnam,5
Poland,5
France,5
Argentina,5
Brazil,4
Turkey,4
Russia,3
Japan,3
