Category: All categories

Week,Airpods: (Worldwide)
2017-02-19,33
2017-02-26,30
2017-03-05,27
2017-03-12,24
2017-03-19,26
2017-03-26,27
2017-04-02,25
2017-04-09,26
2017-04-16,23
2017-04-23,22
2017-04-30,25
2017-05-07,24
2017-05-14,22
2017-05-21,22
2017-05-28,21
2017-06-04,23
2017-06-11,22
2017-06-18,23
2017-06-25,23
2017-07-02,21
2017-07-09,22
2017-07-16,25
2017-07-23,24
2017-07-30,25
2017-08-06,25
2017-08-13,25
2017-08-20,25
2017-08-27,25
2017-09-03,29
2017-09-10,47
2017-09-17,44
2017-09-24,40
2017-10-01,39
2017-10-08,37
2017-10-15,36
2017-10-22,35
2017-10-29,40
2017-11-05,45
2017-11-12,46
2017-11-19,63
2017-11-26,66
2017-12-03,61
2017-12-10,74
2017-12-17,86
2017-12-24,100
2017-12-31,65
2018-01-07,66
2018-01-14,60
2018-01-21,59
2018-01-28,58
2018-02-04,58
2018-02-11,62
